2,0,-9.08843393474242987e-05,0.00000000000000000e+00
2,1,1.46641235502818989e-11,1.17327642348891990e-09
2,2,3.46730964706962977e-05,9.07918983437229000e-10
3,0,-3.19733080846103984e-06,0.00000000000000000e+00
3,1,2.63680066243544995e-05,5.45454563596142018e-06
3,2,1.41715288028556996e-05,4.87803657917276037e-06
3,3,1.22752083681140992e-05,-1.77422218285902999e-06
4,0,3.23478084425701002e-06,0.00000000000000000e+00
4,1,-6.01348318395320999e-06,1.66431982043555006e-06
4,2,-7.11616210558463041e-06,-6.77704715373342034e-06
4,3,-1.34986984039430004e-06,-1.34449765753812007e-05
4,4,-6.00696211618408021e-06,3.92641303770333039e-06
5,0,-2.23785313567789993e-07,0.00000000000000000e+00
5,1,-1.01159599382823004e-06,-4.11890785739650002e-06
5,2,4.39952358728549001e-06,1.05713908047236010e-06
5,3,4.66137222270332999e-07,8.69888197369833080e-06
5,4,2.75425414872044996e-06,6.76775152179037055e-08
5,5,3.11055173860014018e-06,-2.75441116751477009e-06
6,0,3.81842823264222003e-06,0.00000000000000000e+00
6,1,1.52825878706451992e-06,-2.59959538857526990e-06
6,2,-4.39730529189300995e-06,-2.16769181777775018e-06
6,3,-3.31750958457779001e-06,-3.42742447132513014e-06
6,4,3.41236015409078004e-07,-4.05805588743887987e-06
6,5,1.45441719352624993e-06,-1.03417778567895998e-05
6,6,-4.68422596748017011e-06,7.22985456554149996e-06
7,0,5.59341366333206974e-06,0.00000000000000000e+00
7,1,7.47166913765195039e-06,-1.19732690546034010e-07
7,2,-6.50148395564303020e-07,2.41110721047320998e-06
7,3,5.99419168806805026e-07,2.35732740786508011e-06
7,4,-8.43674177637877955e-07,7.56527466536584974e-07
7,5,-2.06861850864985997e-07,1.06931436699906000e-06
7,6,-1.06523323030420006e-06,1.10049729553216001e-06
7,7,-1.82044680949560008e-06,-1.60025922803225995e-06
8,0,2.34682869960587986e-06,0.00000000000000000e+00
8,1,4.16835455718028029e-09,1.09803799314549991e-06
8,2,3.00931218795022018e-06,1.93057394007546990e-06
8,3,-1.88903992116536996e-06,9.54475808191722991e-07
8,4,3.40869328862075008e-06,-5.28250369882883032e-07
8,5,-1.24806460463771003e-06,2.91856136202220001e-06
8,6,-1.66041799989033008e-06,-2.11468285693953013e-06
8,7,-1.50968986638401997e-06,3.26885560232418983e-06
8,8,-2.48568452353413988e-06,2.11634696047063994e-06
